time,JDTDB,X,Y,Z,VX,VY,VZ
13651200,2453755.500000000,1.794946067850938E+07,2.218132431392147E+08,9.626460153348014E+06,-2.198594031666688E+01,7.018559542512084E+00,-4.794302773388237E-01
13737600,2453756.500000000,1.604910156822852E+07,2.224097166847668E+08,9.584606920486093E+06,-2.200350853838507E+01,6.788826318806469E+00,-4.893774500549335E-01
13824000,2453757.500000000,1.414731374309144E+07,2.229863745291825E+08,9.541898678262815E+06,-2.201901633182715E+01,6.559863989633047E+00,-4.992222519291838E-01
13910400,2453758.500000000,1.224427421489463E+07,2.235432835925878E+08,9.498344247811943E+06,-2.203248700279008E+01,6.331679789828685E+00,-5.089652324199361E-01
13996800,2453759.500000000,1.034015799614433E+07,2.240805114065368E+08,9.453952402615637E+06,-2.204394352609499E+01,6.104280638085318E+00,-5.186069451552786E-01
14083200,2453760.500000000,8.435138128529198E+06,2.245981260870049E+08,9.408731868142083E+06,-2.205340854710520E+01,5.877673149988137E+00,-5.281479478133575E-01
14169600,2453761.500000000,6.529385679111459E+06,2.250961962869706E+08,9.362691352352381E+06,-2.206090531624750E+01,5.651863017820005E+00,-5.375879142015971E-01
14256000,2453762.500000000,4.623069816951849E+06,2.255747912049802E+08,9.315839498667508E+06,-2.206645396221052E+01,5.426857538931273E+00,-5.469291862766767E-01
14342400,2453763.500000000,2.716357889133486E+06,2.260339805918819E+08,9.268184840514839E+06,-2.207007708736357E+01,5.202661849213349E+00,-5.561714463175504E-01
14428800,2453764.500000000,8.094153361281903E+05,2.264738346533695E+08,9.219735907748133E+06,-2.207179603971996E+01,4.979281457802953E+00,-5.653152688822820E-01
14515200,2453765.500000000,-1.097594232304207E+06,2.268944240599825E+08,9.170501180369824E+06,-2.207163184867018E+01,4.756721620476323E+00,-5.743612333614916E-01
14601600,2453766.500000000,-3.004509009622212E+06,2.272958199259126E+08,9.120489088100463E+06,-2.206960522653243E+01,4.534987351942180E+00,-5.833099244038853E-01
14688000,2453767.500000000,-4.911168965148943E+06,2.276780937889338E+08,9.069708009922519E+06,-2.206573656965706E+01,4.314083441845483E+00,-5.921619319936733E-01
14774400,2453768.500000000,-6.817415816995820E+06,2.280413175905259E+08,9.018166273559898E+06,-2.206004596275068E+01,4.094014449982389E+00,-6.009178527546266E-01
14860800,2453769.500000000,-8.723093005109550E+06,2.283855636569901E+08,8.965872154885560E+06,-2.205255317873521E+01,3.874784726121024E+00,-6.095782904664301E-01
14947200,2453770.500000000,-1.062804566440682E+07,2.287109046818823E+08,8.912833877268657E+06,-2.204327768057645E+01,3.656398421501000E+00,-6.181438569374423E-01
